place_id,state,city,place_name,type,avg_budget,safety_score,hotel_cost_per_night,food_cost_per_day,transport_cost,railway_distance_km,bus_distance_km,airport_distance_km,family_friendly,place,good_place_1,good_place_2,bad_place_1,bad_place_2,hotel_name,women_safety,crowd_level,best_time,railway_distance,bus_distance,airport_distance,budget,lat,lng
833,Uttar Pradesh,Varanasi,Varanasi Dam 471,Beach,2635,9.6,1399,1131,1211,20,4,11,No,Tourist Place,City Mall,Sunset Point,Avoid dark forest roads,Avoid remote hills after sunset,Radisson Blu,High,Medium,Evening,7,9,12,20048,12.032263,72.494299
834,Uttar Pradesh,Lucknow,Lucknow National Park 357,Hill Station,12233,7.6,2764,815,1953,4,7,43,No,Tourist Place,Local Food Street,Adventure Zone,Avoid unknown shortcuts,Avoid unsafe local alleys,Radisson Blu,Moderate,High,Evening,15,10,15,12606,20.731019,96.823907
835,Uttar Pradesh,Prayagraj,Prayagraj Museum 292,Beach,15027,8.0,3716,1241,1249,4,1,47,No,Tourist Place,Shopping Street,Adventure Zone,Avoid deserted beach areas,Avoid unsafe local alleys,Radisson Blu,Moderate,Medium,Night,7,2,9,12637,24.048156,72.924754
836,Uttar Pradesh,Mathura,Mathura Sanctuary 351,Desert,22386,9.5,4063,1512,1096,8,11,9,No,Tourist Place,Historic Center,Sunset Point,Avoid dark forest roads,Avoid unsafe local alleys,OYO Premium,Low,Low,Night,10,8,15,8145,12.658107,77.971288
837,Uttarakhand,Rishikesh,Rishikesh Zoo 535,Nature,16868,9.5,2083,1962,2889,17,7,7,No,Tourist Place,Shopping Street,Lake View,Avoid isolated roads at night,Avoid unsafe local alleys,Leela Palace,Moderate,Medium,Evening,7,3,17,20607,33.261508,82.952843
838,Uttarakhand,Haridwar,Haridwar Temple 800,Desert,11150,9.2,3561,1037,1168,4,15,28,Yes,Tourist Place,Beach Market,Lake View,Avoid isolated roads at night,Avoid crowded late-night bus stands,Radisson Blu,High,Low,Evening,12,1,34,10748,22.21538,79.515018
839,Uttarakhand,Nainital,Nainital Zoo 990,Desert,21772,7.0,2116,697,2005,16,2,15,Yes,Tourist Place,Local Food Street,Lake View,Avoid deserted beach areas,Avoid abandoned market areas,Taj Hotel,High,Low,Evening,8,8,26,7536,30.224895,82.948124
840,Uttarakhand,Mussoorie,Mussoorie Zoo 29,Beach,11804,8.1,2822,557,841,12,4,17,No,Tourist Place,Local Food Street,Lake View,Avoid dark forest roads,Avoid crowded late-night bus stands,Taj Hotel,Low,High,Evening,5,8,21,22849,8.410433,87.036546
841,Uttarakhand,Dehradun,Dehradun Church 827,Eco Tourism,10029,9.5,2475,956,2918,4,4,24,No,Tourist Place,Beach Market,Lake View,Avoid isolated roads at night,Avoid abandoned market areas,OYO Premium,High,High,Morning,7,6,9,14932,17.489045,89.469411
842,Himachal Pradesh,Shimla,Shimla Lake 25,Wildlife,6504,9.6,2269,863,1501,14,12,22,Yes,Tourist Place,City Mall,Temple Area,Avoid dark forest roads,Avoid crowded late-night bus stands,Treebo Residency,High,High,Morning,2,2,40,11713,33.357565,79.361766
843,Himachal Pradesh,Manali,Manali Sanctuary 562,Adventure,12205,6.6,4402,437,1679,14,13,40,Yes,Tourist Place,Local Food Street,Sunset Point,Avoid deserted beach areas,Avoid unsafe local alleys,OYO Premium,Moderate,Medium,Morning,3,7,35,7229,10.30055,72.546441
844,Himachal Pradesh,Dharamshala,Dharamshala Caves 735,Nature,7551,7.5,2701,1430,1547,11,3,33,Yes,Tourist Place,Historic Center,Tourist Market,Avoid isolated roads at night,Avoid abandoned market areas,ITC Grand,Low,High,Morning,2,7,34,22756,19.043172,87.65338
845,Himachal Pradesh,Kullu,Kullu National Park 966,Wildlife,5556,7.7,1655,1421,2151,19,11,20,Yes,Tourist Place,City Mall,Tourist Market,Avoid isolated roads at night,Avoid unsafe local alleys,ITC Grand,Moderate,Low,Night,2,5,39,6017,9.49905,94.175265
846,Himachal Pradesh,Kasol,Kasol Caves 496,Hill Station,23978,9.8,1219,359,2239,7,5,15,No,Tourist Place,Local Food Street,Sunset Point,Avoid unknown shortcuts,Avoid remote hills after sunset,Leela Palace,Moderate,Low,Evening,14,1,23,10539,20.052874,93.108966
847,Jammu and Kashmir,Srinagar,Srinagar Sanctuary 682,Adventure,4738,8.5,1641,444,363,6,13,7,No,Tourist Place,Local Food Street,Sunset Point,Avoid isolated roads at night,Avoid abandoned market areas,OYO Premium,Low,Medium,Morning,13,10,24,21825,27.457861,73.819369
848,Jammu and Kashmir,Gulmarg,Gulmarg Palace 185,Desert,21420,7.4,1907,1507,1301,13,4,40,No,Tourist Place,Beach Market,Temple Area,Avoid unknown shortcuts,Avoid crowded late-night bus stands,OYO Premium,High,High,Evening,14,10,37,15389,32.997735,80.521512
849,Jammu and Kashmir,Pahalgam,Pahalgam Museum 285,Wildlife,4596,9.8,1911,1675,2104,12,7,42,No,Tourist Place,Local Food Street,Sunset Point,Avoid deserted beach areas,Avoid unsafe local alleys,Taj Hotel,Moderate,Medium,Night,5,8,8,7854,25.569624,96.173075
850,Jammu and Kashmir,Sonamarg,Sonamarg Palace 828,Eco Tourism,13578,7.1,1771,737,2842,11,6,6,Yes,Tourist Place,City Mall,Adventure Zone,Avoid unknown shortcuts,Avoid abandoned market areas,Treebo Residency,Moderate,High,Morning,10,5,20,10823,24.52442,81.286487
851,West Bengal,Kolkata,Kolkata Garden 954,Hill Station,2842,9.5,1344,856,985,7,9,45,No,Tourist Place,Shopping Street,Tourist Market,Avoid isolated roads at night,Avoid remote hills after sunset,Taj Hotel,High,Medium,Evening,4,1,17,22333,24.300941,91.665547
852,West Bengal,Darjeeling,Darjeeling Palace 628,Nature,9218,7.1,4370,1743,367,20,15,23,Yes,Tourist Place,Beach Market,Temple Area,Avoid dark forest roads,Avoid crowded late-night bus stands,Radisson Blu,Low,Low,Evening,2,6,20,20166,31.797212,78.98024
853,West Bengal,Siliguri,Siliguri Fort 7,Cultural,13998,9.0,3097,442,2953,18,10,29,No,Tourist Place,Beach Market,Temple Area,Avoid isolated roads at night,Avoid unsafe local alleys,Taj Hotel,Low,Low,Morning,14,10,20,23412,29.646898,92.074876
854,West Bengal,Sundarbans,Sundarbans Monument 704,Eco Tourism,6254,9.6,1665,1007,2120,10,3,37,Yes,Tourist Place,Historic Center,Adventure Zone,Avoid dark forest roads,Avoid crowded late-night bus stands,Leela Palace,High,Low,Night,13,9,18,18937,24.022255,79.453787
855,Gujarat,Ahmedabad,Ahmedabad Sanctuary 323,Desert,18287,7.6,1333,1239,1361,20,6,50,Yes,Tourist Place,Beach Market,Tourist Market,Avoid isolated roads at night,Avoid crowded late-night bus stands,Taj Hotel,Low,Low,Evening,10,10,24,24288,10.995012,68.756817
856,Gujarat,Dwarka,Dwarka Lake 778,Nature,2604,7.6,1212,1806,914,17,14,22,No,Tourist Place,City Mall,Temple Area,Avoid isolated roads at night,Avoid remote hills after sunset,OYO Premium,Low,Low,Night,8,3,28,23165,32.745198,86.83196
857,Gujarat,Gir,Gir Palace 304,Historical,21846,7.3,586,1583,454,7,12,48,Yes,Tourist Place,Beach Market,Temple Area,Avoid unknown shortcuts,Avoid abandoned market areas,Taj Hotel,High,Low,Evening,5,8,22,11830,10.711937,94.252108
858,Gujarat,Kutch,Kutch Island 163,Spiritual,8904,6.8,4240,842,2000,8,5,20,No,Tourist Place,Beach Market,Sunset Point,Avoid deserted beach areas,Avoid remote hills after sunset,Treebo Residency,High,High,Night,13,9,30,4432,33.8456,76.706183
859,Gujarat,Somnath,Somnath Hill 9,Cultural,21774,7.1,3719,1324,2301,2,1,35,No,Tourist Place,Shopping Street,Tourist Market,Avoid unknown shortcuts,Avoid remote hills after sunset,ITC Grand,Moderate,High,Night,6,1,39,20163,10.32771,87.699688
860,Punjab,Amritsar,Amritsar Zoo 145,Nature,24468,7.7,727,618,853,15,4,37,Yes,Tourist Place,Local Food Street,Lake View,Avoid deserted beach areas,Avoid abandoned market areas,Treebo Residency,Low,Low,Morning,1,1,9,7695,10.919566,96.787368
861,Punjab,Chandigarh,Chandigarh Lake 115,Adventure,23621,8.0,3362,1314,1462,11,14,7,Yes,Tourist Place,Historic Center,Adventure Zone,Avoid isolated roads at night,Avoid unsafe local alleys,Taj Hotel,Low,Low,Night,9,3,20,15497,23.470905,75.255598
862,Punjab,Ludhiana,Ludhiana Beach 989,Wildlife,24659,8.8,1747,577,2011,7,9,41,No,Tourist Place,City Mall,Lake View,Avoid deserted beach areas,Avoid crowded late-night bus stands,ITC Grand,Low,Low,Morning,9,2,29,11749,26.515162,90.213995
863,Punjab,Patiala,Patiala Museum 959,Spiritual,17519,8.6,4815,1810,1240,15,4,24,No,Tourist Place,Local Food Street,Sunset Point,Avoid unknown shortcuts,Avoid remote hills after sunset,Leela Palace,Moderate,Medium,Night,4,2,16,6783,13.66095,82.259086
864,Bihar,Patna,Patna Lake 274,Wildlife,6354,7.1,507,1050,479,6,4,36,Yes,Tourist Place,Historic Center,Tourist Market,Avoid isolated roads at night,Avoid abandoned market areas,ITC Grand,Low,Low,Night,5,1,22,13074,20.49856,91.573226
865,Bihar,Gaya,Gaya Garden 406,Cultural,14048,9.2,664,1574,2852,14,12,34,No,Tourist Place,Historic Center,Lake View,Avoid dark forest roads,Avoid unsafe local alleys,Treebo Residency,High,Medium,Morning,9,8,20,21167,25.881343,76.99596
866,Bihar,Nalanda,Nalanda Palace 507,Cultural,3482,9.8,3897,691,1387,10,8,41,Yes,Tourist Place,City Mall,Adventure Zone,Avoid unknown shortcuts,Avoid remote hills after sunset,OYO Premium,Low,Low,Night,11,1,40,23461,25.778729,89.799601
867,Bihar,Vaishali,Vaishali Dam 76,Cultural,19704,8.9,725,460,2124,8,11,44,Yes,Tourist Place,Beach Market,Lake View,Avoid dark forest roads,Avoid remote hills after sunset,Leela Palace,Moderate,Medium,Morning,6,7,33,16819,19.587408,69.083662
868,Odisha,Puri,Puri National Park 334,Eco Tourism,18694,9.6,996,1219,232,2,12,6,Yes,Tourist Place,City Mall,Lake View,Avoid deserted beach areas,Avoid unsafe local alleys,Treebo Residency,Low,Low,Night,11,6,32,10849,20.949881,87.908589
869,Odisha,Konark,Konark Waterfall 213,Hill Station,16224,6.6,2996,478,2421,16,14,47,No,Tourist Place,Beach Market,Temple Area,Avoid isolated roads at night,Avoid unsafe local alleys,Taj Hotel,High,Low,Night,13,1,5,4940,19.453252,93.435747
870,Odisha,Bhubaneswar,Bhubaneswar National Park 762,Wildlife,16016,7.5,1223,936,2194,4,1,43,No,Tourist Place,City Mall,Tourist Market,Avoid isolated roads at night,Avoid crowded late-night bus stands,Leela Palace,High,Low,Morning,12,10,33,12367,16.831808,71.863289
871,Odisha,Cuttack,Cuttack Beach 677,Beach,18720,8.2,3885,305,2119,8,6,45,Yes,Tourist Place,Local Food Street,Adventure Zone,Avoid unknown shortcuts,Avoid abandoned market areas,Radisson Blu,Moderate,Medium,Night,4,7,9,18942,17.522435,91.404259
872,Assam,Guwahati,Guwahati Caves 820,Spiritual,8212,8.6,3450,1758,255,7,12,35,No,Tourist Place,Shopping Street,Sunset Point,Avoid deserted beach areas,Avoid abandoned market areas,Leela Palace,Low,High,Night,5,8,9,22422,11.81575,94.689326
873,Assam,Kaziranga,Kaziranga Church 717,Spiritual,22788,7.1,1137,1170,1034,19,5,50,No,Tourist Place,Historic Center,Lake View,Avoid unknown shortcuts,Avoid remote hills after sunset,Radisson Blu,Low,Medium,Morning,10,8,36,12147,9.727341,79.601417
874,Assam,Majuli,Majuli National Park 499,Adventure,5919,6.7,1199,1720,208,5,11,16,No,Tourist Place,Beach Market,Sunset Point,Avoid isolated roads at night,Avoid unsafe local alleys,Treebo Residency,Low,High,Morning,14,1,17,11603,31.408595,94.158757
875,Assam,Sivasagar,Sivasagar Island 704,Beach,19418,9.3,980,1079,721,19,11,20,No,Tourist Place,Local Food Street,Lake View,Avoid isolated roads at night,Avoid remote hills after sunset,Taj Hotel,Low,Low,Night,4,1,20,20823,21.643107,89.940037
876,Madhya Pradesh,Bhopal,Bhopal Garden 495,Desert,12026,9.6,2174,1861,350,19,4,9,No,Tourist Place,Local Food Street,Temple Area,Avoid deserted beach areas,Avoid crowded late-night bus stands,Leela Palace,Moderate,Medium,Night,2,6,33,19957,11.323139,89.948493
877,Madhya Pradesh,Khajuraho,Khajuraho Hill 196,Cultural,7382,8.6,1632,965,2850,3,9,31,Yes,Tourist Place,Local Food Street,Sunset Point,Avoid dark forest roads,Avoid crowded late-night bus stands,ITC Grand,Moderate,High,Evening,2,5,30,7752,27.665436,78.963837
878,Madhya Pradesh,Jabalpur,Jabalpur Sanctuary 321,Eco Tourism,6988,8.9,2884,1608,1481,2,5,38,Yes,Tourist Place,City Mall,Adventure Zone,Avoid dark forest roads,Avoid remote hills after sunset,Leela Palace,Low,Low,Night,13,7,7,13304,21.370005,83.722966
879,Madhya Pradesh,Indore,Indore National Park 415,Spiritual,5495,7.4,4921,623,2592,11,3,25,Yes,Tourist Place,Local Food Street,Lake View,Avoid dark forest roads,Avoid remote hills after sunset,ITC Grand,Moderate,Low,Morning,15,9,32,8373,22.322277,79.294572
880,Delhi,New Delhi,New Delhi Beach 647,Wildlife,16987,7.9,1577,514,2546,11,2,22,No,Tourist Place,City Mall,Temple Area,Avoid dark forest roads,Avoid crowded late-night bus stands,ITC Grand,Low,Medium,Night,7,9,21,16856,18.715903,81.205371
881,Andhra Pradesh,Vijayawada,Vijayawada Beach 133,Wildlife,18335,9.2,2704,480,474,11,4,42,No,Tourist Place,Historic Center,Sunset Point,Avoid deserted beach areas,Avoid remote hills after sunset,Radisson Blu,Low,High,Evening,4,4,34,22317,33.334648,96.769141
882,Andhra Pradesh,Tirupati,Tirupati Temple 133,Cultural,20716,9.6,702,469,673,13,8,14,Yes,Tourist Place,Beach Market,Sunset Point,Avoid unknown shortcuts,Avoid crowded late-night bus stands,Leela Palace,Low,Medium,Night,5,3,36,13726,34.663895,76.078571
883,Andhra Pradesh,Visakhapatnam,Visakhapatnam Lake 575,Cultural,21110,6.7,2800,865,1857,1,1,24,Yes,Tourist Place,Shopping Street,Adventure Zone,Avoid unknown shortcuts,Avoid abandoned market areas,ITC Grand,Moderate,Medium,Evening,6,10,32,19173,20.788171,87.914459
884,Andhra Pradesh,Araku Valley,Araku Valley Waterfall 391,Desert,5487,7.6,4271,609,431,17,14,19,No,Tourist Place,Local Food Street,Adventure Zone,Avoid unknown shortcuts,Avoid abandoned market areas,OYO Premium,High,High,Night,8,8,25,24558,27.090509,89.764341
885,Andhra Pradesh,Amaravati,Amaravati Sanctuary 731,Spiritual,21263,9.1,803,922,377,10,14,23,No,Tourist Place,Shopping Street,Adventure Zone,Avoid isolated roads at night,Avoid remote hills after sunset,Treebo Residency,Low,High,Morning,6,3,22,19973,11.026434,94.014885
886,Telangana,Hyderabad,Hyderabad Church 329,Desert,13556,9.5,3197,527,2273,19,15,16,Yes,Tourist Place,Shopping Street,Lake View,Avoid isolated roads at night,Avoid crowded late-night bus stands,OYO Premium,Low,Low,Night,4,10,11,16118,12.490956,68.78496
887,Telangana,Warangal,Warangal Garden 114,Nature,16251,7.5,3072,374,1169,20,7,44,No,Tourist Place,Beach Market,Lake View,Avoid deserted beach areas,Avoid crowded late-night bus stands,Taj Hotel,High,Medium,Night,11,9,10,12892,11.258261,76.032738
888,Telangana,Nizamabad,Nizamabad Garden 10,Desert,7312,9.2,1135,1830,2059,14,5,24,Yes,Tourist Place,City Mall,Lake View,Avoid dark forest roads,Avoid unsafe local alleys,Leela Palace,Moderate,High,Morning,7,5,11,8447,33.122587,88.921145
889,Telangana,Adilabad,Adilabad Sanctuary 482,Beach,20379,6.9,3823,1661,2505,5,4,20,No,Tourist Place,Historic Center,Temple Area,Avoid deserted beach areas,Avoid abandoned market areas,Radisson Blu,High,Medium,Evening,4,6,14,21979,17.585886,95.821224
890,Telangana,Karimnagar,Karimnagar Monument 400,Desert,2540,9.4,2937,358,1258,17,10,10,No,Tourist Place,Local Food Street,Tourist Market,Avoid isolated roads at night,Avoid crowded late-night bus stands,Taj Hotel,Low,High,Night,4,8,11,24550,30.489013,82.348267
891,Tamil Nadu,Chennai,Chennai Waterfall 801,Nature,22044,9.0,1735,1981,1106,2,5,24,No,Tourist Place,Local Food Street,Lake View,Avoid isolated roads at night,Avoid remote hills after sunset,ITC Grand,Low,Medium,Morning,6,1,28,19472,15.307949,70.900463
892,Tamil Nadu,Madurai,Madurai Mosque 927,Wildlife,3065,9.5,4168,1894,1905,19,4,32,No,Tourist Place,Beach Market,Tourist Market,Avoid deserted beach areas,Avoid remote hills after sunset,OYO Premium,Moderate,Medium,Morning,10,1,40,15608,25.608592,92.515892
893,Tamil Nadu,Ooty,Ooty Mosque 616,Wildlife,11646,8.3,2765,1084,2986,1,9,50,No,Tourist Place,Beach Market,Temple Area,Avoid unknown shortcuts,Avoid unsafe local alleys,Treebo Residency,Low,High,Morning,8,7,9,6658,19.435255,89.286481
894,Tamil Nadu,Kanyakumari,Kanyakumari Temple 290,Eco Tourism,5830,8.2,2007,955,1964,9,2,28,No,Tourist Place,Historic Center,Sunset Point,Avoid isolated roads at night,Avoid crowded late-night bus stands,ITC Grand,High,Low,Morning,3,2,8,24449,17.404243,73.15877
895,Tamil Nadu,Coimbatore,Coimbatore Hill 833,Spiritual,17754,7.5,748,1072,2591,9,11,45,Yes,Tourist Place,Historic Center,Tourist Market,Avoid deserted beach areas,Avoid unsafe local alleys,Taj Hotel,High,High,Night,4,9,10,15083,11.399808,94.077435
896,Karnataka,Bengaluru,Bengaluru Riverfront 945,Desert,3758,8.7,1749,302,1138,1,13,12,No,Tourist Place,Shopping Street,Lake View,Avoid dark forest roads,Avoid remote hills after sunset,Treebo Residency,High,Low,Morning,6,4,24,7036,11.619842,91.586691
897,Karnataka,Mysuru,Mysuru Waterfall 228,Desert,11277,7.1,2384,443,846,19,1,33,No,Tourist Place,Local Food Street,Lake View,Avoid dark forest roads,Avoid remote hills after sunset,OYO Premium,High,Medium,Morning,8,9,14,13553,24.114177,70.720332
898,Karnataka,Hampi,Hampi Museum 736,Desert,19003,8.0,603,1481,1599,11,11,5,Yes,Tourist Place,City Mall,Sunset Point,Avoid deserted beach areas,Avoid unsafe local alleys,OYO Premium,Low,High,Evening,5,6,37,14642,13.614139,81.003872
899,Karnataka,Coorg,Coorg Hill 614,Desert,22219,8.0,1038,1725,824,18,10,18,Yes,Tourist Place,Beach Market,Temple Area,Avoid deserted beach areas,Avoid crowded late-night bus stands,Radisson Blu,High,High,Morning,10,4,26,18305,31.152856,88.831788
900,Karnataka,Mangalore,Mangalore Valley 949,Adventure,5741,6.8,1317,917,2484,4,15,45,Yes,Tourist Place,Local Food Street,Tourist Market,Avoid deserted beach areas,Avoid crowded late-night bus stands,Taj Hotel,High,Medium,Night,4,2,6,4593,26.94722,81.028709
901,Kerala,Kochi,Kochi Hill 942,Nature,8482,8.4,2248,1233,1806,19,3,30,Yes,Tourist Place,City Mall,Temple Area,Avoid deserted beach areas,Avoid crowded late-night bus stands,Taj Hotel,High,Low,Evening,14,2,26,9253,10.93763,94.603068
902,Kerala,Munnar,Munnar Caves 104,Hill Station,9511,8.4,2301,457,2648,8,10,17,No,Tourist Place,Beach Market,Sunset Point,Avoid deserted beach areas,Avoid abandoned market areas,Leela Palace,High,Low,Night,5,8,7,11015,16.980805,86.922026
903,Kerala,Alappuzha,Alappuzha National Park 285,Cultural,2884,9.3,593,1956,2367,15,3,44,No,Tourist Place,Historic Center,Adventure Zone,Avoid deserted beach areas,Avoid abandoned market areas,Radisson Blu,High,High,Evening,14,7,29,5307,27.803799,91.654143
904,Kerala,Thekkady,Thekkady Valley 116,Beach,21341,7.1,1154,1712,2591,1,7,9,Yes,Tourist Place,Historic Center,Adventure Zone,Avoid deserted beach areas,Avoid unsafe local alleys,OYO Premium,High,Low,Evening,10,3,19,23443,18.809232,86.160486
905,Kerala,Wayanad,Wayanad Valley 501,Wildlife,13372,9.1,4256,1857,593,3,6,6,Yes,Tourist Place,Shopping Street,Adventure Zone,Avoid isolated roads at night,Avoid unsafe local alleys,Taj Hotel,Moderate,High,Evening,15,2,28,6318,27.485256,68.062447
906,Maharashtra,Mumbai,Mumbai Waterfall 189,Cultural,10653,7.7,4621,850,1264,6,12,9,No,Tourist Place,Shopping Street,Temple Area,Avoid dark forest roads,Avoid remote hills after sunset,Taj Hotel,Low,Medium,Morning,10,3,16,24919,11.787015,90.567185
907,Maharashtra,Pune,Pune Waterfall 795,Adventure,9745,8.9,4784,440,629,5,1,48,No,Tourist Place,Shopping Street,Lake View,Avoid dark forest roads,Avoid abandoned market areas,Taj Hotel,Low,Medium,Evening,3,10,30,12374,11.403499,81.905543
908,Maharashtra,Aurangabad,Aurangabad Caves 418,Hill Station,2654,8.0,1314,1888,3000,3,11,41,Yes,Tourist Place,Local Food Street,Lake View,Avoid unknown shortcuts,Avoid unsafe local alleys,Treebo Residency,Low,Medium,Morning,7,5,9,12823,12.069873,84.200574
909,Maharashtra,Lonavala,Lonavala Sanctuary 554,Nature,18347,8.2,3830,639,1291,1,4,29,Yes,Tourist Place,Local Food Street,Sunset Point,Avoid unknown shortcuts,Avoid unsafe local alleys,Taj Hotel,Moderate,High,Morning,5,1,38,14940,22.962207,81.274528
910,Maharashtra,Nashik,Nashik Temple 257,Wildlife,21885,9.7,4019,873,1032,8,12,25,Yes,Tourist Place,Historic Center,Sunset Point,Avoid unknown shortcuts,Avoid abandoned market areas,ITC Grand,High,High,Evening,4,10,22,23431,19.418342,84.994064
911,Goa,Panaji,Panaji Hill 471,Historical,24699,9.7,559,995,2011,13,2,29,No,Tourist Place,City Mall,Lake View,Avoid dark forest roads,Avoid crowded late-night bus stands,ITC Grand,Moderate,Low,Morning,15,10,23,17581,30.118151,85.410558
912,Goa,Margao,Margao Lake 500,Wildlife,18473,9.2,868,889,790,3,14,33,No,Tourist Place,Shopping Street,Adventure Zone,Avoid deserted beach areas,Avoid unsafe local alleys,Radisson Blu,Moderate,High,Night,13,8,9,23975,23.962314,68.432161
913,Goa,Mapusa,Mapusa Garden 106,Beach,3948,6.9,1309,1631,1346,5,4,47,Yes,Tourist Place,Local Food Street,Sunset Point,Avoid unknown shortcuts,Avoid unsafe local alleys,Radisson Blu,Moderate,Medium,Night,4,4,15,22177,28.598143,95.543534
914,Goa,Vasco da Gama,Vasco da Gama National Park 829,Adventure,14403,7.1,1655,1283,394,11,12,22,Yes,Tourist Place,Shopping Street,Lake View,Avoid dark forest roads,Avoid unsafe local alleys,Leela Palace,High,Medium,Night,8,2,15,21622,28.451065,72.082745
915,Rajasthan,Jaipur,Jaipur Sanctuary 674,Wildlife,17056,8.8,624,742,1137,3,4,39,Yes,Tourist Place,City Mall,Temple Area,Avoid deserted beach areas,Avoid abandoned market areas,ITC Grand,High,High,Morning,12,7,19,6004,34.500759,85.562578
916,Rajasthan,Udaipur,Udaipur Island 526,Hill Station,23247,7.3,3094,1982,1846,15,2,26,Yes,Tourist Place,Historic Center,Tourist Market,Avoid dark forest roads,Avoid unsafe local alleys,Taj Hotel,Low,Low,Evening,12,9,33,17650,10.992255,72.616268
917,Rajasthan,Jaisalmer,Jaisalmer Beach 427,Eco Tourism,20829,7.9,1819,892,2161,12,14,42,No,Tourist Place,Historic Center,Sunset Point,Avoid dark forest roads,Avoid abandoned market areas,Radisson Blu,Low,Low,Evening,6,8,24,22448,23.953753,83.47816
918,Rajasthan,Mount Abu,Mount Abu National Park 607,Adventure,3318,9.7,4805,1577,1950,20,9,32,Yes,Tourist Place,City Mall,Lake View,Avoid unknown shortcuts,Avoid unsafe local alleys,Radisson Blu,Low,Medium,Night,6,8,9,17235,20.62909,86.386907
919,Rajasthan,Ajmer,Ajmer Valley 973,Wildlife,10587,9.2,708,1038,1377,18,1,49,No,Tourist Place,Local Food Street,Sunset Point,Avoid dark forest roads,Avoid unsafe local alleys,Taj Hotel,High,Medium,Evening,13,5,14,8548,26.726319,86.349096
920,Uttar Pradesh,Agra,Agra Riverfront 699,Hill Station,21175,8.9,2969,1448,1189,17,12,28,Yes,Tourist Place,Historic Center,Lake View,Avoid unknown shortcuts,Avoid remote hills after sunset,ITC Grand,Low,Low,Morning,2,7,8,13076,20.02673,89.336901
921,Uttar Pradesh,Varanasi,Varanasi Dam 388,Spiritual,14804,7.5,4761,1214,1790,8,8,37,No,Tourist Place,Beach Market,Tourist Market,Avoid dark forest roads,Avoid crowded late-night bus stands,Radisson Blu,High,Low,Morning,10,6,25,13562,21.183079,81.797168
922,Uttar Pradesh,Lucknow,Lucknow Beach 371,Adventure,9721,9.5,3680,1330,295,11,15,46,Yes,Tourist Place,Shopping Street,Sunset Point,Avoid isolated roads at night,Avoid crowded late-night bus stands,ITC Grand,Low,Medium,Evening,6,5,38,7483,25.723227,69.928671
923,Uttar Pradesh,Prayagraj,Prayagraj Valley 352,Spiritual,24100,9.6,1660,1177,1659,3,15,29,Yes,Tourist Place,Beach Market,Lake View,Avoid dark forest roads,Avoid unsafe local alleys,ITC Grand,High,Low,Night,12,6,33,21065,28.496667,73.215817
924,Uttar Pradesh,Mathura,Mathura Church 395,Adventure,16527,8.8,3632,372,877,8,9,35,Yes,Tourist Place,Historic Center,Temple Area,Avoid isolated roads at night,Avoid remote hills after sunset,Radisson Blu,Moderate,High,Evening,1,1,39,19585,8.961015,80.77571
925,Uttarakhand,Rishikesh,Rishikesh Hill 592,Wildlife,21339,8.2,3058,1999,1631,5,11,44,Yes,Tourist Place,City Mall,Temple Area,Avoid unknown shortcuts,Avoid crowded late-night bus stands,Taj Hotel,Low,Low,Evening,1,5,16,19994,19.353777,75.971488
926,Uttarakhand,Haridwar,Haridwar Waterfall 607,Cultural,4875,9.8,643,1141,2922,15,9,40,No,Tourist Place,Historic Center,Lake View,Avoid deserted beach areas,Avoid unsafe local alleys,Treebo Residency,High,Medium,Night,4,8,18,21924,23.562476,73.091113
927,Uttarakhand,Nainital,Nainital Zoo 360,Hill Station,20437,9.7,1837,1953,2287,15,15,45,Yes,Tourist Place,Beach Market,Temple Area,Avoid deserted beach areas,Avoid unsafe local alleys,Leela Palace,High,Medium,Night,2,10,31,21987,31.105734,78.428095
928,Uttarakhand,Mussoorie,Mussoorie Garden 797,Eco Tourism,7940,8.1,4151,1198,1188,13,4,50,Yes,Tourist Place,Historic Center,Sunset Point,Avoid deserted beach areas,Avoid remote hills after sunset,OYO Premium,High,Medium,Evening,8,8,15,20229,24.652347,91.460416
929,Uttarakhand,Dehradun,Dehradun National Park 619,Wildlife,4575,8.9,4733,1360,1239,18,1,26,No,Tourist Place,Local Food Street,Sunset Point,Avoid dark forest roads,Avoid unsafe local alleys,Leela Palace,High,Low,Evening,3,9,34,16540,12.558388,95.38645
930,Himachal Pradesh,Shimla,Shimla Fort 975,Nature,11727,7.5,2177,768,1651,10,14,48,No,Tourist Place,Shopping Street,Lake View,Avoid unknown shortcuts,Avoid crowded late-night bus stands,OYO Premium,High,Medium,Night,5,7,13,4125,12.413544,95.160349
931,Himachal Pradesh,Manali,Manali Mosque 303,Cultural,4314,6.8,2804,784,2937,4,13,45,Yes,Tourist Place,Local Food Street,Tourist Market,Avoid unknown shortcuts,Avoid crowded late-night bus stands,ITC Grand,High,High,Morning,4,10,13,24085,13.513536,93.980201
932,Himachal Pradesh,Dharamshala,Dharamshala Valley 957,Adventure,17814,8.2,4374,556,2936,19,7,19,No,Tourist Place,City Mall,Temple Area,Avoid isolated roads at night,Avoid abandoned market areas,Taj Hotel,Low,Medium,Morning,7,5,11,9615,19.916946,82.695054
